Datetime,0
2022-08-31,-0.021965711751059436
2022-09-30,-0.0024459421753485477
2022-10-31,-0.0060833461364849795
2022-11-30,-0.014350554130064808
2022-12-31,-0.010138438171945374
2023-01-31,0.0030173886167097486
2023-02-28,-0.0027938005089631623
2023-03-31,-0.04703748096460525
2023-04-30,-0.021364339854185843
2023-05-31,-0.012569390849322737
2023-06-30,-0.013589679098784946
2023-07-31,-0.0011755722607861285
2023-08-31,0.000519896255847696
2023-09-30,0.007092673293081164
2023-10-31,0.01225659679178559
2023-11-30,-0.011875671174712665
2023-12-31,-0.0135168566913213
