,tp,sl,rsi_p,ema_p,bb_p
0,0.07874615619789103,0.019744138223391144,11,97,24
1,0.07321498301999398,0.020137446327676927,12,68,24
2,0.05804317799986812,0.04964113152965253,11,53,26
3,0.11667543142280455,0.04799747546963881,14,99,18
4,0.11310580962454383,0.04053077921060328,19,25,16
5,0.1010210390359893,0.03536111659064541,20,31,29
6,0.10101134670136966,0.047967456090596064,10,85,20
7,0.07887301529997388,0.042098988221838864,16,65,18
8,0.047220274474124954,0.02453874091634829,12,56,28
9,0.029277389689746493,0.037914423123931125,17,45,23
10,0.0870906945001847,0.03765791352995795,16,48,19
11,0.11461716110316808,0.016817722642243307,12,87,30
12,0.11786793228698313,0.04121897786304553,11,24,27
13,0.055426883163385544,0.03912027983078091,14,40,15
14,0.11350253905200805,0.03503824722128795,20,88,25
15,0.054939686611426945,0.029738550946291766,12,89,30
16,0.066053671036037,0.040461107169393565,10,44,16
17,0.055474662683927006,0.04257184592555431,17,71,22
18,0.09542887149217592,0.03513804469323353,13,78,26
19,0.11538366689407352,0.044121883987844814,19,40,21
20,0.022433998694223134,0.04875439520631221,16,60,23
21,0.03844864769461528,0.04291833500852518,15,91,21
22,0.08497297360356659,0.03053427164299737,11,58,20
23,0.11191143104375961,0.04885098689272352,11,58,18
24,0.11571967231533006,0.03800141695765859,13,72,22
25,0.11477767466934252,0.048609125464660605,15,67,16
26,0.11014613489785112,0.018441783728408823,15,30,29
27,0.08406192060162035,0.010107406761150359,16,68,26
28,0.0950084444265119,0.023538997079982873,17,61,22
29,0.10430308357800265,0.013300874912893742,13,20,26
30,0.1000416118319664,0.012391820951650133,15,54,27
31,0.08367025466202742,0.012733063784486973,16,72,30
32,0.11091547320108842,0.013763440117181221,19,70,25
33,0.07095892395762718,0.04730617638612439,15,56,18
34,0.04971968746508268,0.015791708102867175,11,34,16
35,0.08473392018973229,0.04066811891309956,12,38,21
36,0.022665582347705427,0.039056401973087185,15,59,22
37,0.1133620667868133,0.012236290427296018,20,52,17
38,0.10743926637773633,0.026730765291981262,11,53,17
39,0.11894787261650012,0.04500438263797473,10,78,23
40,0.1166055730861488,0.02760910275430526,17,27,19
41,0.11619034164951267,0.02416521809062453,20,74,30
42,0.0370948236132648,0.03613233665717179,11,64,18
43,0.06598988746343135,0.03797166292733296,19,97,29
44,0.06595115761709676,0.04568005421353323,18,55,28
45,0.07567330281188672,0.031924158452192715,16,58,19
46,0.06275659170701234,0.03130176002291499,20,85,27
47,0.06013305698399776,0.033750664565847015,13,95,26
48,0.058681028480716255,0.0470729408622201,11,53,29
49,0.05290571957258518,0.03161999269381954,17,61,18
50,0.06937847683012247,0.01985457565104301,19,42,29
51,0.06883546723711376,0.031720108457546095,13,99,29
52,0.04207593437772186,0.015357171785140164,11,47,21
53,0.025523552371547145,0.025203409963304516,19,100,29
54,0.1197673418926852,0.04835274608960871,15,33,15
55,0.023251780340516955,0.021137807066382183,16,38,25
56,0.03900100292447132,0.038284194698330894,18,25,25
57,0.0439652492808023,0.021951260632461347,20,79,18
58,0.037338760236640345,0.04328597273711006,15,46,30
59,0.11912219030680117,0.019559680554969275,12,36,22
60,0.1197670596254431,0.04346855871869001,14,20,24
61,0.031247984947356172,0.043911262339607654,16,57,16
62,0.07617396858099217,0.028703370801731333,14,99,19
63,0.07561734143274282,0.04291766242575571,10,55,15
64,0.09132314876839548,0.022358400584892427,18,72,25
65,0.08240128724118309,0.0410812878883225,18,41,16
66,0.02579534867584919,0.03807291306268194,16,29,29
67,0.04173100486921412,0.03162069970000299,16,22,16
68,0.03330088496609382,0.03499062671962359,17,63,27
69,0.10599424413535662,0.02908706487418148,19,99,29
70,0.11196165038704103,0.012946197169364997,16,24,29
71,0.10748892641725687,0.030299611311526323,13,83,29
72,0.03574515710993128,0.03371669465676257,15,92,20
73,0.04118370257405407,0.031341720418062984,19,78,26
74,0.037607548848195727,0.049628801711291304,11,94,19
75,0.07443369628565469,0.03716144605148462,17,81,24
76,0.028041428943622618,0.012965092096863829,10,20,17
77,0.07913629219901033,0.018863041847771076,14,78,16
